model,image_index,IoU,Dice,Boundary_F1
Model A (Baseline U-Net),238,0.9773963446368619,0.9885689219177375,0.916482052537806
Model A (Baseline U-Net),239,0.9753274717387403,0.9875095807193346,0.8920793802876275
Model A (Baseline U-Net),240,0.9671979507613491,0.9833253959163497,0.8153413732718773
Model A (Baseline U-Net),241,0.9816959070959548,0.9907633670789006,0.9330559846522434
Model A (Baseline U-Net),242,0.974317020647722,0.9869913917553333,0.8828985775459813
Model A (Baseline U-Net),243,0.9778908437033859,0.9888217944015992,0.8934528146934813
Model A (Baseline U-Net),244,0.9781778505182761,0.9889685050820092,0.8979140852754876
Model A (Baseline U-Net),245,0.986173439608072,0.9930385601140809,0.9018855652276216
Model A (Baseline U-Net),246,0.27868543356842923,0.43589140675439786,0.23442456777409926
Model A (Baseline U-Net),247,0.027777777777777776,0.027777777777777776,0.0
Model A (Baseline U-Net),248,0.5250618125496618,0.6885769221614216,0.13568091428141835
Model A (Baseline U-Net),249,0.9536738940623041,0.9762876510323456,0.25535235546055085
Model A (Baseline U-Net),250,0.9453750548884094,0.9719205547584512,0.2677961526097474
Model A (Baseline U-Net),251,0.0001330671989354624,0.0001330671989354624,0.00036717437144282946
Model A (Baseline U-Net),252,0.0003301419610432486,0.0003301419610432486,0.0
Model A (Baseline U-Net),253,0.7790417097552568,0.8757952527046665,0.7281331810450765
Model B (Attention U-Net),0,0.7518713204373423,0.8583619385967018,0.6964498668389681
Model B (Attention U-Net),1,0.9304613085973977,0.9639776190399406,0.8768795046870537
Model B (Attention U-Net),2,0.9140883344792587,0.9551153760626743,0.9085596031700552
Model B (Attention U-Net),3,0.9122700367941129,0.9541218398112671,0.9105307512782752
Model B (Attention U-Net),4,0.9211426231186649,0.9589524398303098,0.8494136103550561
Model B (Attention U-Net),5,0.898923304985566,0.9467710291413721,0.8170773362919642
Model B (Attention U-Net),6,0.9533092696891433,0.976096410877288,0.8904607616766874
Model B (Attention U-Net),7,0.9514193863199288,0.9751048025299699,0.8908252521163129
Model B (Attention U-Net),8,0.9609155258141487,0.9800681164641981,0.8654456766176659
Model B (Attention U-Net),9,0.9695951050007554,0.9845627716696497,0.9258086940307121
Model B (Attention U-Net),10,0.9714731501160977,0.9855300957805461,0.933117297627767
Model B (Attention U-Net),11,0.9676420263801954,0.9835548584165772,0.8574188968186914
Model B (Attention U-Net),12,0.9738225940192919,0.9867376403209768,0.9080321616493923
Model B (Attention U-Net),13,0.9684522466121736,0.9839732405459567,0.8663383075261268
Model B (Attention U-Net),14,0.9784944395455751,0.9891302936811178,0.88308031718214
Model B (Attention U-Net),15,0.9809605546019631,0.9903887407357556,0.9084912404460959
Model B (Attention U-Net),16,0.984481637959051,0.9921801112798824,0.9228341062315008
Model B (Attention U-Net),17,0.9864280213753996,0.9931676303565848,0.5319466686256026
Model B (Attention U-Net),18,0.05555555555555555,0.05555555555555555,0.0
Model B (Attention U-Net),19,1.0,1.0,1.0
Model B (Attention U-Net),20,0.8546751885660293,0.9216438340121156,0.38975225829837945
Model B (Attention U-Net),21,0.8323836172474045,0.9085251961227659,0.3236988117622315
Model B (Attention U-Net),22,1.0,1.0,1.0
Model B (Attention U-Net),23,0.9472077174971236,0.9728881094777988,0.6158727438993139
Model B (Attention U-Net),24,0.9555787861833387,0.9772847908988582,0.6660481231436802
Model B (Attention U-Net),25,1.0,1.0,1.0
Model B (Attention U-Net),26,0.9301231734838872,0.9637965583896634,0.701314636534738
Model B (Attention U-Net),27,0.8640119565030664,0.9270451728253406,0.7104758839534896
Model B (Attention U-Net),28,0.9421976344906524,0.9702377054547836,0.9895124571558598
Model B (Attention U-Net),29,0.9374432815052333,0.9677107079286763,0.9758109283282378
Model B (Attention U-Net),30,0.8850245257372495,0.9390053689697064,0.7170441449049991
Model B (Attention U-Net),31,1.0,1.0,1.0
Model B (Attention U-Net),32,0.8163771712158809,0.89890134912051,0.8038245381002886
Model B (Attention U-Net),33,0.4361966183677366,0.6074272124318655,0.3691892495505688
Model B (Attention U-Net),34,0.8119822161755059,0.896235016491915,0.7919973782671333
Model B (Attention U-Net),35,0.738035340829873,0.8492727843465523,0.7447295617834566
Model B (Attention U-Net),36,0.8195303540205682,0.9008142346401041,0.5702603276031201
Model B (Attention U-Net),37,0.8295774239392094,0.9068499231147256,0.7785573363261561
Model B (Attention U-Net),38,0.9044279946164199,0.9498155450960437,0.6541089618713783
Model B (Attention U-Net),39,0.9306972447586151,0.9641044310380695,0.9010816415712207
Model B (Attention U-Net),40,0.9387418218419729,0.9684027994102132,0.9053973234257894
Model B (Attention U-Net),41,0.9461371606965476,0.9723229166666667,0.9262506649868567
Model B (Attention U-Net),42,0.9453473191374421,0.9719056269743008,0.9148672693954459
Model B (Attention U-Net),43,0.9643415353012103,0.9818469093141156,0.9620796530913255
Model B (Attention U-Net),44,0.9651027279005525,0.9822413073560744,0.9672174314309049
Model B (Attention U-Net),45,0.9691632129465166,0.9843399606619812,0.947066268840506
Model B (Attention U-Net),46,0.9626784033378278,0.980984108054857,0.9453914985124403
Model B (Attention U-Net),47,0.9520404547943441,0.9754306646425979,0.9667269324649195
Model B (Attention U-Net),48,0.9493981704381319,0.9740420119293133,0.9485890489265538
Model B (Attention U-Net),49,0.9545000277608129,0.9767200727231408,0.9404372577832417
Model B (Attention U-Net),50,0.9722363828869456,0.9859226341376122,0.9803105798473961
Model B (Attention U-Net),51,0.935954415954416,0.9669158768470006,0.9728712248116541
Model B (Attention U-Net),52,0.9543136111920723,0.9766219239373601,0.9280930677855215
Model B (Attention U-Net),53,0.0004873294346978557,0.0004873294346978557,0.0
Model B (Attention U-Net),54,1.0,1.0,1.0
Model B (Attention U-Net),55,0.9286909943086709,0.9630270309095698,0.8174338390644204
Model B (Attention U-Net),56,0.9782990814775656,0.9890304435254899,0.9371860651327523
Model B (Attention U-Net),57,1.0,1.0,1.0
Model B (Attention U-Net),58,1.0,1.0,1.0
Model B (Attention U-Net),59,1.0,1.0,1.0
Model B (Attention U-Net),60,1.0,1.0,1.0
Model B (Attention U-Net),61,1.0,1.0,1.0
Model B (Attention U-Net),62,1.0,1.0,1.0
Model B (Attention U-Net),63,1.0,1.0,1.0
Model B (Attention U-Net),64,1.0,1.0,1.0
Model B (Attention U-Net),65,1.0,1.0,1.0
Model B (Attention U-Net),66,1.0,1.0,1.0
Model B (Attention U-Net),67,1.0,1.0,1.0
Model B (Attention U-Net),68,1.0,1.0,1.0
Model B (Attention U-Net),69,1.0,1.0,1.0
Model B (Attention U-Net),70,1.0,1.0,1.0
Model B (Attention U-Net),71,1.0,1.0,1.0
Model B (Attention U-Net),72,1.0,1.0,1.0
Model B (Attention U-Net),73,1.0,1.0,1.0
Model B (Attention U-Net),74,1.0,1.0,1.0
Model B (Attention U-Net),75,1.0,1.0,1.0
Model B (Attention U-Net),76,1.0,1.0,1.0
Model B (Attention U-Net),77,1.0,1.0,1.0
Model B (Attention U-Net),78,1.0,1.0,1.0
Model B (Attention U-Net),79,1.0,1.0,1.0
Model B (Attention U-Net),80,1.0,1.0,1.0
Model B (Attention U-Net),81,1.0,1.0,1.0
Model B (Attention U-Net),82,1.0,1.0,1.0
Model B (Attention U-Net),83,1.0,1.0,1.0
Model B (Attention U-Net),84,1.0,1.0,1.0
Model B (Attention U-Net),85,1.0,1.0,1.0
Model B (Attention U-Net),86,1.0,1.0,1.0
Model B (Attention U-Net),87,1.0,1.0,1.0
Model B (Attention U-Net),88,1.0,1.0,1.0
Model B (Attention U-Net),89,1.0,1.0,1.0
Model B (Attention U-Net),90,1.0,1.0,1.0
Model B (Attention U-Net),91,0.8132461602664288,0.8970053340794426,0.49481801291554045
Model B (Attention U-Net),92,0.782867405060852,0.8782110587523237,0.4579384277703554
Model B (Attention U-Net),93,0.8721304972978333,0.931698041251311,0.5069429575476069
Model B (Attention U-Net),94,0.9119631751026328,0.9539546006827255,0.5173609468411967
Model B (Attention U-Net),95,0.9201135896573628,0.9583948403597292,0.5102688462550818
Model B (Attention U-Net),96,1.0,1.0,1.0
Model B (Attention U-Net),97,0.9941519129310246,0.9970673757508512,0.07486518740625801
Model B (Attention U-Net),98,0.9817898603265156,0.9908112476279309,0.411389640049232
Model B (Attention U-Net),99,0.9948575330655283,0.9974221333185443,0.11710882553708085
Model B (Attention U-Net),100,0.983287046220988,0.9915730877391408,0.07438062211018366
Model B (Attention U-Net),101,1.0,1.0,1.0
Model B (Attention U-Net),102,0.8135878805437592,0.8972131953874158,0.0879283481609483
Model B (Attention U-Net),103,0.9748904405443375,0.9872855262040262,0.5758787883124963
Model B (Attention U-Net),104,0.979247311827957,0.9895148015146494,0.7749368758484584
Model B (Attention U-Net),105,0.9784922014116839,0.989129138246999,0.7716139282805525
Model B (Attention U-Net),106,0.9017812487977532,0.9483538158094371,0.789032080793152
Model B (Attention U-Net),107,0.9022356056393854,0.9486053793750109,0.5141290115380095
Model B (Attention U-Net),108,0.9923562264427794,0.9961634415333346,0.5985650649237523
Model B (Attention U-Net),109,0.9907978818922814,0.9953776631788301,0.5648688936372108
Model B (Attention U-Net),110,0.9937154867759858,0.9968478318280252,0.6055931284917717
Model B (Attention U-Net),111,0.9890929010529733,0.9945165350539881,0.7293800760223363
Model B (Attention U-Net),112,0.987541408908611,0.9937316441474003,0.5743645486928322
